Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
01/04/2026 00:57:23,System.Runtime,Number of Active Timers,Metric,2
01/04/2026 00:57:23,System.Runtime,GC Fragmentation (%),Metric,17.310817885052877
01/04/2026 00:57:23,System.Runtime,GC Committed Bytes (MB),Metric,35.667968
01/04/2026 00:57:23,System.Runtime,Exception Count (Count / 1 sec),Rate,0
01/04/2026 00:57:23,System.Runtime,% Time in GC since last GC (%),Metric,0
01/04/2026 00:57:23,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
01/04/2026 00:57:23,System.Runtime,Gen 0 Size (B),Metric,6307304
01/04/2026 00:57:23,System.Runtime,Gen 1 Size (B),Metric,6526760
01/04/2026 00:57:23,System.Runtime,Gen 2 Size (B),Metric,21728920
01/04/2026 00:57:23,System.Runtime,LOH Size (B),Metric,491232
01/04/2026 00:57:23,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262336
01/04/2026 00:57:23,System.Runtime,Number of Assemblies Loaded,Metric,124
01/04/2026 00:57:23,System.Runtime,IL Bytes Jitted (B),Metric,511642
01/04/2026 00:57:23,System.Runtime,Number of Methods Jitted,Metric,7054
01/04/2026 00:57:23,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
01/04/2026 00:57:24,System.Runtime,CPU Usage (%),Metric,0.00887056028457757
01/04/2026 00:57:24,System.Runtime,Working Set (MB),Metric,153.567232
01/04/2026 00:57:24,System.Runtime,GC Heap Size (MB),Metric,58.516928
01/04/2026 00:57:24,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:24,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:24,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:24,System.Runtime,Gen 0 GC Budget (MB),Metric,6
01/04/2026 00:57:24,System.Runtime,ThreadPool Thread Count,Metric,2
01/04/2026 00:57:24,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
01/04/2026 00:57:24,System.Runtime,ThreadPool Queue Length,Metric,0
01/04/2026 00:57:24,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
01/04/2026 00:57:24,System.Runtime,Allocation Rate (B / 1 sec),Rate,8192
01/04/2026 00:57:24,System.Runtime,Number of Active Timers,Metric,2
01/04/2026 00:57:24,System.Runtime,GC Fragmentation (%),Metric,17.310817885052877
01/04/2026 00:57:24,System.Runtime,GC Committed Bytes (MB),Metric,35.667968
01/04/2026 00:57:24,System.Runtime,Exception Count (Count / 1 sec),Rate,0
01/04/2026 00:57:24,System.Runtime,% Time in GC since last GC (%),Metric,0
01/04/2026 00:57:24,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
01/04/2026 00:57:24,System.Runtime,Gen 0 Size (B),Metric,6307304
01/04/2026 00:57:24,System.Runtime,Gen 1 Size (B),Metric,6526760
01/04/2026 00:57:24,System.Runtime,Gen 2 Size (B),Metric,21728920
01/04/2026 00:57:24,System.Runtime,LOH Size (B),Metric,491232
01/04/2026 00:57:24,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262336
01/04/2026 00:57:24,System.Runtime,Number of Assemblies Loaded,Metric,124
01/04/2026 00:57:24,System.Runtime,IL Bytes Jitted (B),Metric,511642
01/04/2026 00:57:24,System.Runtime,Number of Methods Jitted,Metric,7054
01/04/2026 00:57:24,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
01/04/2026 00:57:25,System.Runtime,CPU Usage (%),Metric,0.007037601505547601
01/04/2026 00:57:25,System.Runtime,Working Set (MB),Metric,153.534464
01/04/2026 00:57:25,System.Runtime,GC Heap Size (MB),Metric,58.52512
01/04/2026 00:57:25,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:25,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:25,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:25,System.Runtime,Gen 0 GC Budget (MB),Metric,6
01/04/2026 00:57:25,System.Runtime,ThreadPool Thread Count,Metric,2
01/04/2026 00:57:25,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
01/04/2026 00:57:25,System.Runtime,ThreadPool Queue Length,Metric,0
01/04/2026 00:57:25,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
01/04/2026 00:57:25,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
01/04/2026 00:57:25,System.Runtime,Number of Active Timers,Metric,2
01/04/2026 00:57:25,System.Runtime,GC Fragmentation (%),Metric,17.310817885052877
01/04/2026 00:57:25,System.Runtime,GC Committed Bytes (MB),Metric,35.667968
01/04/2026 00:57:25,System.Runtime,Exception Count (Count / 1 sec),Rate,0
01/04/2026 00:57:25,System.Runtime,% Time in GC since last GC (%),Metric,0
01/04/2026 00:57:25,System.Runtime,Time paused by GC (ms / 1 sec),Rate,0
01/04/2026 00:57:25,System.Runtime,Gen 0 Size (B),Metric,6307304
01/04/2026 00:57:25,System.Runtime,Gen 1 Size (B),Metric,6526760
01/04/2026 00:57:25,System.Runtime,Gen 2 Size (B),Metric,21728920
01/04/2026 00:57:25,System.Runtime,LOH Size (B),Metric,491232
01/04/2026 00:57:25,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,262336
01/04/2026 00:57:25,System.Runtime,Number of Assemblies Loaded,Metric,124
01/04/2026 00:57:25,System.Runtime,IL Bytes Jitted (B),Metric,511642
01/04/2026 00:57:25,System.Runtime,Number of Methods Jitted,Metric,7054
01/04/2026 00:57:25,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
01/04/2026 00:57:26,System.Runtime,CPU Usage (%),Metric,0.005310238804194337
01/04/2026 00:57:26,System.Runtime,Working Set (MB),Metric,153.51808
01/04/2026 00:57:26,System.Runtime,GC Heap Size (MB),Metric,58.533344
01/04/2026 00:57:26,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:26,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:26,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
01/04/2026 00:57:26,System.Runtime,Gen 0 GC Budget (MB),Metric,6
01/04/2026 00:57:26,System.Runtime,ThreadPool Thread Count,Metric,2
01/04/2026 00:57:26,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
01/04/2026 00:57:26,System.Runtime,ThreadPool Queue Length,Metric,0
01/04/2026 00:57:26,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
01/04/2026 00:57:26,System.Runtime,Allocation Rate (B / 1 sec),Rate,8200
01/04/2026 00:57:26,System.Runtime,Number of Active Timers,Metric,2
01/04/2026 00:57:26,System.Runtime,GC Fragmentation (%),Metric,17.310817885052877
01/04/2026 00:57:26,System.Runtime,GC Committed Bytes (MB),Metric,35.667968
01/04/2026 00:57:26,System.Runtime,Exception Count (Count / 1 sec),Rate,0
01/04/2026 00:57:26,System.Runtime,% Time in GC since last GC (%),Metric,0
